Label(A_A'_B_X),E_A1,E_A',E_P,E_K,E_H
"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.1908511233875852,-0.4980945333767519,-0.7282183583895445,-0.5997144505673649,-0.7662484763674425
"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1",-1.8620141558539465,1.744285425878655,-0.4627461811577169,0.1637094900698255,0.3931760038849622
"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1.4385365439928814,-0.8143663267448898,1.3589584177774077,1.1066187517921218,1.0941180649496247
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0",-0.1722523736306742,-0.1744876506671973,0.2979427516793454,0.3130904006550376,0.3084611892532675
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0",1.2290867726631998,1.744285425878655,-1.6300716010017908,-1.5132800630659389,-1.4468151639129303
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0",0.8213464391320572,0.9991266439594542,-0.256775230596115,-0.3143202918210824,-0.3338377716827299
"0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",-0.1709647725774183,0.2164294636459447,-1.27910838364446,-1.1481689905952084,-1.371156070845313
"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0",-0.1709647725774183,-2.038031819230619,-1.8122017666108767,-2.1302574580402904,-2.431843974044225
"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",-1.8620141558539465,-0.1123551291869627,-2.6774543675354563,-2.516180785423401,-2.678612386665344
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0",0.972854163065208,1.2567177225962596,0.6335269838137854,0.707164741711405,0.7165528997376741
"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0",0.973712563767379,1.3801198138695032,0.4933700311492712,0.7259664132510498,0.7924310828431316
"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",-0.1709647725774183,-0.4980945333767519,0.3527429784997785,0.3917748526475386,0.3242356719777901
"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.540649409522197,-0.0942331437552277,0.9165943319119774,0.7300962601788327,0.6543313289909461
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0",-0.2241856161120094,0.7152155388622716,-1.1202817458621996,-0.9071163462314406,-0.4857401979188736
"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0.6904403320510062,1.4275821566669045,0.2171527114036335,0.3210783940548283,0.3984341647931366
"0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0",1.4385365439928814,-0.1278882595570211,0.2867946663212674,0.1883798914542151,0.1361833894979497
"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0",1.2290867726631998,-0.4980945333767519,-0.1281021489932351,-0.1552668450102729,-0.1733178039581911
"0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0",-0.1589471627470265,0.9999895956466798,-0.7088099447239744,-0.6144949553615369,-0.4386358397831458
"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0",-0.1147395265852291,0.5646304694414255,0.7927565644403128,0.9183846760310548,1.038177075287661
"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0",-0.1241819343091082,1.1208028318582468,-0.6979976450694526,-0.5733595063571695,-0.4796056768593368
